0 0 2.15926 0.997032
0.0117188 0.333333 5.97001 1.40113
0.0234375 0.666667 8.46359 1.15634
0.0351562 1 129.32 1.38031
0.046875 1.33333 3.36082 0.803627
0.0585938 1.66667 2.85102 1.09326
0.0703125 2 6.68115 0.807671
0.0820312 2.33333 3.42558 0.867483
0.09375 2.66667 5.87584 0.654416
0.105469 3 2.97122 1.10544
0.117188 3.33333 7.84762 0.726989
0.128906 3.66667 6.20319 0.573181
0.140625 4 3.17215 0.387156
0.152344 4.33333 6.00083 0.276193
0.164062 4.66667 1.95603 0.60876
0.175781 5 3.78848 0.604227
0.1875 5.33333 6.84273 -0.279391
0.199219 5.66667 3.07853 0.019038
0.210938 6 6.41272 0.300045
0.222656 6.33333 5.72769 0.605702
0.234375 6.66667 3.39223 -0.290566
0.246094 7 1.71758 -0.711
0.257812 7.33333 5.95579 -0.028911
0.269531 7.66667 6.09226 0.0137274
0.28125 8 4.32198 -0.362959
0.292969 8.33333 3.32646 -0.249131
0.304688 8.66667 2.00333 -0.539336
0.316406 9 4.3308 -1.07348
0.328125 9.33333 5.55218 -0.638504
0.339844 9.66667 4.2219 -0.230543
0.351562 10 6.06322 -0.554451
0.363281 10.3333 5.24335 -0.780555
0.375 10.6667 2.53969 -0.609488
0.386719 11 2.45057 -0.778363
0.398438 11.3333 1.79124 -1.28597
0.410156 11.6667 6.14036 -0.98691
0.421875 12 3.63627 -0.45798
0.433594 12.3333 3.75219 -0.754379
0.445312 12.6667 7.47679 -1.08396
0.457031 13 9.47311 -0.894263
0.46875 13.3333 5.15641 -1.5905
0.480469 13.6667 5.23407 -1.08522
0.492188 14 1.07386 -1.19154
0.503906 14.3333 9.41002 -1.05204
0.515625 14.6667 3.13803 -0.597419
0.527344 15 3.79206 -1.17278
0.539062 15.3333 7.73926 -0.587446
0.550781 15.6667 5.11116 -0.790152
0.5625 16 3.83335 -1.20834
0.574219 16.3333 9.28353 -1.09807
0.585938 16.6667 2.28124 -0.760195
0.597656 17 6.11179 -0.584376
0.609375 17.3333 7.58885 -0.410147
0.621094 17.6667 4.28274 -1.08529
0.632812 18 3.95698 -0.759625
0.644531 18.3333 5.06038 -0.567945
0.65625 18.6667 8.13416 -0.376267
