1.30859 0.0180161 0.0348367  -0.0321308 -0.00382116 0.00936522 0.0126482
1.32812 0.0182048 0.0224194  -0.0665804 -0.0156897 0.00794447 0.0127965
1.34766 0.0183964 0.00771459  -0.0976558 -0.0266025 0.006719 0.0129524
1.36719 0.0185911 -0.000292695  -0.124318 -0.0362026 0.00574088 0.0131196
1.38672 0.0187888 -0.0275799  -0.145723 -0.0441783 0.00505428 0.0133013
1.40625 0.0189897 0.0167573  -0.161241 -0.0502724 0.00469401 0.0134998
1.42578 0.0191938 0.00890865  -0.170475 -0.0542896 0.00468438 0.0137165
1.44531 0.0194012 0.0108658  -0.173258 -0.0561019 0.00503841 0.0139518
1.46484 0.019612 0.0335968  -0.169654 -0.0556521 0.00575736 0.0142051
1.48438 0.0198261 0.0592117  -0.159941 -0.0529541 0.00683068 0.0144748
1.50391 0.0200438 -0.0063129  -0.144592 -0.0480918 0.00823626 0.0147582
1.52344 0.0202651 -0.0102177  -0.124249 -0.0412156 0.00994113 0.0150521
1.54297 0.02049 0.043612  -0.0996939 -0.032537 0.0119023 0.0153521
1.5625 0.0207187 0.0264413  -0.0718131 -0.0223211 0.0140683 0.0156534
1.58203 0.0209512 0.0166083  -0.041568 -0.0108785 0.0163802 0.0159507
1.60156 0.0211876 -0.005221  -0.00995869 0.00144525 0.018774 0.0162384
1.62109 0.0214279 0.0304423  0.0220071 0.0142795 0.0211818 0.016511
1.64062 0.0216724 0.0131429  0.0533447 0.0272403 0.0235344 0.0167628
1.66016 0.0219211 0.0112051  0.0831197 0.0399416 0.025763 0.0169887
1.67969 0.022174 0.009713  0.110472 0.0520067 0.0278015 0.0171842
1.69922 0.0224313 0.0308015  0.134635 0.0630789 0.029588 0.0173452
1.71875 0.022693 0.00697381  0.154956 0.072832 0.0310673 0.0174689
1.73828 0.0229594 0.0199368  0.170903 0.0809797 0.0321921 0.0175532
1.75781 0.0232304 0.045805  0.182083 0.0872831 0.0329245 0.0175975
1.77734 0.0235062 0.0231917  0.188238 0.0915582 0.0332377 0.0176023
1.79688 0.0237868 0.00542202  0.189255 0.0936803 0.0331161 0.0175693
1.81641 0.0240726 0.0326346  0.185166 0.0935878 0.0325568 0.0175019
1.83594 0.0243634 0.0113286  0.176138 0.0912842 0.0315693 0.0174047
1.85547 0.0246595 0.0213505  0.162478 0.0868372 0.0301756 0.0172834
1.875 0.024961 0.0243456  0.144612 0.0803775 0.0284099 0.0171451
1.89453 0.025268 0.0270283  0.123087 0.0720945 0.0263174 0.0169979
