0.117645 0.334714 0.456398 0.619609 0.379412 -0.954324 -0.835809 1.0169 -0.190602 -0.906338 0.291206 -0.110563 -0.100604
0.120697 0.33159 0.456771 0.623848 0.377493 -0.955438 -0.834265 1.01792 -0.189208 -0.90444 0.292361 -0.113477 -0.103152
0.123745 0.328483 0.457135 0.628093 0.375545 -0.956576 -0.83268 1.01892 -0.187815 -0.902532 0.293509 -0.116392 -0.105693
0.126791 0.325392 0.457488 0.632344 0.373567 -0.957736 -0.831055 1.01992 -0.186423 -0.900612 0.294649 -0.119306 -0.108227
0.129832 0.322319 0.457832 0.636601 0.371557 -0.95892 -0.829389 1.0209 -0.185031 -0.898682 0.295783 -0.122221 -0.110752
0.132871 0.319262 0.458166 0.640863 0.369518 -0.960125 -0.827684 1.02188 -0.183639 -0.896742 0.296909 -0.125137 -0.11327
0.135906 0.316223 0.458491 0.645129 0.367447 -0.961352 -0.825938 1.02284 -0.182248 -0.89479 0.298027 -0.128053 -0.115779
0.138937 0.3132 0.458806 0.649401 0.365345 -0.9626 -0.824152 1.0238 -0.180858 -0.892828 0.299138 -0.130969 -0.11828
0.141965 0.310193 0.459113 0.653676 0.363212 -0.963869 -0.822325 1.02474 -0.179468 -0.890856 0.30024 -0.133885 -0.120772
0.144988 0.307204 0.459411 0.657955 0.361048 -0.965158 -0.820459 1.02567 -0.178079 -0.888873 0.301335 -0.136801 -0.123256
0.148008 0.304231 0.4597 0.662237 0.358852 -0.966467 -0.818552 1.0266 -0.176692 -0.886879 0.302422 -0.139718 -0.125731
0.151024 0.301274 0.459981 0.666522 0.356624 -0.967796 -0.816605 1.02751 -0.175305 -0.884875 0.303501 -0.142635 -0.128197
0.154037 0.298334 0.460254 0.670809 0.354364 -0.969143 -0.814618 1.02841 -0.173919 -0.882861 0.304572 -0.145552 -0.130654
0.157045 0.29541 0.460518 0.675099 0.352072 -0.970509 -0.812591 1.02931 -0.172534 -0.880837 0.305635 -0.14847 -0.133101
0.160049 0.292503 0.460775 0.67939 0.349748 -0.971892 -0.810523 1.03019 -0.17115 -0.878802 0.306689 -0.151387 -0.135539
0.163049 0.289611 0.461024 0.683682 0.347392 -0.973293 -0.808416 1.03106 -0.169767 -0.876758 0.307735 -0.154305 -0.137968
0.166045 0.286736 0.461266 0.687976 0.345003 -0.974711 -0.806269 1.03193 -0.168385 -0.874703 0.308772 -0.157223 -0.140387
0.169037 0.283876 0.4615 0.692269 0.342581 -0.976146 -0.804081 1.03278 -0.167005 -0.872638 0.309801 -0.160142 -0.142796
0.172025 0.281033 0.461727 0.696563 0.340127 -0.977596 -0.801854 1.03362 -0.165626 -0.870563 0.31082 -0.16306 -0.145194
0.175008 0.278205 0.461948 0.700856 0.337639 -0.979061 -0.799587 1.03446 -0.164248 -0.868479 0.311831 -0.165979 -0.147583
0.177987 0.275394 0.462161 0.705148 0.335119 -0.980542 -0.79728 1.03528 -0.162872 -0.866385 0.312834 -0.168898 -0.149962
0.180961 0.272597 0.462368 0.709439 0.332565 -0.982036 -0.794933 1.0361 -0.161497 -0.864281 0.313827 -0.171817 -0.15233
